rev,n,total,mean,sd
0c54fc727,1655,5168.0,3.12,1.78
9665313c3,1655,5168.0,3.12,1.78
aa3b3d76e,1655,5168.0,3.12,1.78
cd77382ac,1632,5096.0,3.12,1.8
d9fc8cd9d,1632,5096.0,3.12,1.8
e51929ebc,1635,5106.5,3.12,1.85
d27ea9403,1634,5037.0,3.08,1.81
3408e4715,1629,5019.25,3.08,1.81
c16fb5dae,1630,5026.25,3.08,1.81
e78587a64,1620,4990.5,3.08,1.83
686623c5e,1619,4984.5,3.08,1.83
4b07d3689,1566,4823.25,3.08,1.86
986537f1c,1573,4844.25,3.08,1.86
b9b474695,1569,4828.5,3.08,1.86
8f7bace7c,1571,4837.5,3.08,1.86
d05911049,1577,4836.5,3.07,1.84
3cde34a4a,1577,4840.0,3.07,1.84
46e678bcf,1577,4840.0,3.07,1.84
0a05ed57e,1568,4814.0,3.07,1.84
0fa939e2d,1561,4740.0,3.04,1.83
6ca023447,1553,4711.0,3.03,1.84
a41351f36,1568,4775.0,3.05,1.84
a0e619e62,1568,4775.0,3.05,1.84
68af5f6c5,1553,4711.0,3.03,1.84
d8bccde68,1553,4711.0,3.03,1.84
f94886946,1544,4557.0,2.95,1.82
ebb3930d2,1537,4531.5,2.95,1.82
193e78e35,1537,4531.5,2.95,1.82
2ef5d106b,1543,4528.5,2.93,1.82
a6977dbd1,1559,4576.25,2.94,1.83
13698db63,1388,4012.0,2.89,1.95
0be6d05b5,1394,4039.0,2.9,1.95
a257d9bcc,1379,3943.0,2.86,1.93
98060b001,1385,3961.0,2.86,1.92
6768ff4a2,1387,3885.25,2.8,1.88
61c299f81,1392,3911.5,2.81,1.9
109e15a33,1405,3951.0,2.81,1.9
785d75a03,1407,3956.0,2.81,1.9
87baebebd,1432,4066.0,2.84,1.9
887d7af88,1436,4080.25,2.84,1.91
46fae69cf,1441,4098.0,2.84,1.91
d419aa5dc,1442,4101.0,2.84,1.91
a6fed0206,1441,4102.0,2.85,1.91
175bda67a,1442,4105.0,2.85,1.91
ba7703e65,1445,4097.0,2.84,1.89
646a31e51,1446,4104.0,2.84,1.9
3c9396a64,1447,4107.0,2.84,1.9
4b2ed7926,1425,4065.0,2.85,1.93
911215528,1429,4074.0,2.85,1.93
06c0922a6,1431,4081.0,2.85,1.93
009b3d538,1433,4084.0,2.85,1.93
60f762433,1443,4119.0,2.85,1.93
55aa7af99,1478,4279.0,2.9,1.99
f4937a51c,1481,4290.0,2.9,1.98
b18201fe0,1485,4298.0,2.89,1.98
3d2779c29,1486,4302.0,2.9,1.98
fabe89bbc,1480,4288.0,2.9,1.99
5d7f54520,1482,4305.0,2.9,1.99
2b1610455,1482,4305.0,2.9,1.99
c32e249a2,1481,4301.0,2.9,1.99
2628a69e3,1481,4301.0,2.9,1.99
7d9216495,1481,4301.0,2.9,1.99
4fc1bf813,1481,4301.0,2.9,1.99
1f1b1bc03,1474,4281.0,2.9,2.0
4c2b38ce9,1475,4280.75,2.9,2.0
d54af615d,1476,4286.75,2.9,2.0
2ad6194a0,1476,4286.75,2.9,2.0
ebb1ec931,1483,4303.75,2.9,1.99
bdce64f23,1503,4401.75,2.93,2.02
17430e365,1503,4401.75,2.93,2.02
02f0c7b22,1504,4401.75,2.93,2.02
6865fe007,1512,4405.75,2.91,2.02
4555143ea,1514,4412.0,2.91,2.02
41aa57842,1515,4415.0,2.91,2.02
ef3f98b59,1516,4418.5,2.91,2.02
f8a1a2d10,1523,4435.5,2.91,2.01
cf02f9b28,1524,4438.5,2.91,2.01
b8089195b,1518,4418.75,2.91,2.01
5f1ac1e1d,1524,4438.5,2.91,2.01
5241ca50d,1524,4438.5,2.91,2.01
68b4a2614,1525,4440.5,2.91,2.01
c7ea0b56c,1529,4454.75,2.91,2.01
645872110,1546,4512.75,2.92,2.0
6e9cc73f6,1547,4515.75,2.92,2.0
257ab9543,1543,4507.0,2.92,2.01
a89209b78,1547,4518.0,2.92,2.0
799397ee4,1561,4573.75,2.93,2.01
79f2f1c2a,1566,4593.5,2.93,2.01
c4cf26067,1576,4599.5,2.92,2.01
981eeca41,1572,4583.75,2.92,2.01
e9fd658a7,1592,4658.75,2.93,2.03
6d42ce831,1595,4664.75,2.92,2.03
2e7cbf2d7,1607,4716.75,2.94,2.05
657f2f301,1622,4759.75,2.93,2.04
b024a42e9,1616,4745.75,2.94,2.05
32c9be220,1610,4726.0,2.94,2.05
e601efcb1,1615,4738.0,2.93,2.04
72d14d0ee,1645,4831.0,2.94,2.03
6db31e7a2,1649,4852.0,2.94,2.03
4ac9c33f7,1635,4811.0,2.94,2.04
3482fd7e4,1641,4806.0,2.93,2.04
41060c6e0,1650,4835.0,2.93,2.04
7bd4c37ae,1652,4842.0,2.93,2.04
9ad0a4588,1652,4845.0,2.93,2.04
d4d309409,1674,4936.75,2.95,2.05
56fe4bedd,1655,4881.0,2.95,2.04
313ae8c16,1628,4807.0,2.95,2.05
1e36c8687,1596,4743.0,2.97,2.06
01513a334,1602,4762.0,2.97,2.06
4de714635,1601,4753.0,2.97,2.06
dd572c0ab,1585,4690.25,2.96,2.06
1eaff2781,1580,4674.25,2.96,2.06
da6579bf4,1580,4675.25,2.96,2.06
3a1d8940a,1580,4678.25,2.96,2.06
a15a50fc1,1581,4681.25,2.96,2.06
c17231e82,1568,4629.25,2.95,2.07
bc8a8ce5e,1548,4536.25,2.93,2.05
accac8292,1552,4550.5,2.93,2.05
82ec66f51,1528,4497.75,2.94,2.06
d5b981f8b,1560,4617.75,2.96,2.07
610852a42,1558,4593.5,2.95,2.06
1cd6eaba5,1559,4602.5,2.95,2.07
86ae693f2,1568,4637.25,2.96,2.07
94b71ae10,1571,4640.25,2.95,2.07
37efc63b6,1564,4616.25,2.95,2.07
ad510309e,1569,4632.5,2.95,2.08
61445453d,1569,4632.5,2.95,2.08
b4e081cb1,1580,4677.0,2.96,2.08
dfbc1f888,1597,4745.5,2.97,2.08
fb0e0d46f,1599,4752.5,2.97,2.08
2d7b09b99,1619,4811.5,2.97,2.08
4ac843735,1629,4836.5,2.97,2.08
24d1dffbe,1633,4865.75,2.98,2.09
aa7012eb6,1633,4866.75,2.98,2.09
469b3ffaa,1634,4869.75,2.98,2.09
766bc8162,1634,4877.75,2.99,2.09
139d15578,1651,4944.75,3.0,2.09
7e3a8dc90,1640,4920.75,3.0,2.1
e3edc0a7a,1638,4909.75,3.0,2.1
56186474f,1626,4902.75,3.02,2.09
